experiment_id,experiment,evidence_type,locality,rep,baseline_policy,treatment_policy,workload_trace_hash,baseline_policy_order,treatment_policy_order,delta_ttft_p50_ms,delta_ttft_p95_ms,delta_latency_p95_ms,delta_observed_reuse_hit_rate,status
20260715_paired_latency_low_sketch_k16_rep0,paired_t4_latency_replay_v3,live_t4_vllm,low,0,load_only,sketch_k16,cd769dc40703060c473c28e0a613014edf41a7cea946093907f462d965c11a66,0,1,4.5247070000000065,1.982449000000031,308.2569339999999,0.05078125,Current
20260715_paired_latency_low_exact_rep0,paired_t4_latency_replay_v3,live_t4_vllm,low,0,load_only,exact,cd769dc40703060c473c28e0a613014edf41a7cea946093907f462d965c11a66,0,3,-2.6401830000000075,-8.431663000000015,-26.281616999999983,0.140625,Current
20260715_paired_latency_low_sketch_k8_rep1,paired_t4_latency_replay_v3,live_t4_vllm,low,1,load_only,sketch_k8,45c5d031ebfcbc05e8cc069ea3e3cc32fcbceefa0f1607fa235ed4a209c46bc7,1,2,12.527646999999973,3.8801240000000234,319.2660639999999,0.0234375,Current
20260715_paired_latency_low_sketch_k16_rep1,paired_t4_latency_replay_v3,live_t4_vllm,low,1,load_only,sketch_k16,45c5d031ebfcbc05e8cc069ea3e3cc32fcbceefa0f1607fa235ed4a209c46bc7,1,3,14.233163999999988,8.133407000000034,327.9146089999999,0.0390625,Current
20260715_paired_latency_low_exact_rep1,paired_t4_latency_replay_v3,live_t4_vllm,low,1,load_only,exact,45c5d031ebfcbc05e8cc069ea3e3cc32fcbceefa0f1607fa235ed4a209c46bc7,1,0,-4.073723000000001,-9.437893999999972,-16.46079599999996,0.1484375,Current
20260715_paired_latency_low_sketch_k8_rep2,paired_t4_latency_replay_v3,live_t4_vllm,low,2,load_only,sketch_k8,6919c3f8ff1ecb85bd695165efea7773078a9e578a6d3037e2a0efcaff05a49a,3,2,6.797269,11.636144000000002,324.93769299999997,0.03125,Current
20260715_paired_latency_low_sketch_k16_rep2,paired_t4_latency_replay_v3,live_t4_vllm,low,2,load_only,sketch_k16,6919c3f8ff1ecb85bd695165efea7773078a9e578a6d3037e2a0efcaff05a49a,3,0,12.84831699999998,3.9428669999999784,318.558637,0.0390625,Current
20260715_paired_latency_low_exact_rep2,paired_t4_latency_replay_v3,live_t4_vllm,low,2,load_only,exact,6919c3f8ff1ecb85bd695165efea7773078a9e578a6d3037e2a0efcaff05a49a,3,1,-1.9759670000000256,-5.96252800000002,-15.515982000000008,0.14453125,Current
20260715_paired_latency_low_sketch_k8_rep3,paired_t4_latency_replay_v3,live_t4_vllm,low,3,load_only,sketch_k8,e3384dc3aa884a8c15c7987a46256409d4a0789145a60efc1b111ac0f9ab48c5,1,2,7.998468000000003,4.928663999999969,333.27603599999986,0.0390625,Current
20260715_paired_latency_low_sketch_k16_rep3,paired_t4_latency_replay_v3,live_t4_vllm,low,3,load_only,sketch_k16,e3384dc3aa884a8c15c7987a46256409d4a0789145a60efc1b111ac0f9ab48c5,1,0,5.243295999999987,12.232377999999983,335.61578799999995,0.03125,Current
20260715_paired_latency_low_exact_rep3,paired_t4_latency_replay_v3,live_t4_vllm,low,3,load_only,exact,e3384dc3aa884a8c15c7987a46256409d4a0789145a60efc1b111ac0f9ab48c5,1,3,-5.176579000000004,-11.76737700000001,-31.420994000000064,0.14453125,Current
20260715_paired_latency_low_sketch_k8_rep4,paired_t4_latency_replay_v3,live_t4_vllm,low,4,load_only,sketch_k8,d4fef4af3aa251693fd152893c1b164e925232c30df8add7dca9b1c2745c9dc9,0,1,13.348179999999985,1.5522419999999784,302.8765310000001,-0.0078125,Current
20260715_paired_latency_low_sketch_k16_rep4,paired_t4_latency_replay_v3,live_t4_vllm,low,4,load_only,sketch_k16,d4fef4af3aa251693fd152893c1b164e925232c30df8add7dca9b1c2745c9dc9,0,3,12.367367999999999,-1.0004690000000096,305.00133299999993,0.0546875,Current
20260715_paired_latency_low_exact_rep4,paired_t4_latency_replay_v3,live_t4_vllm,low,4,load_only,exact,d4fef4af3aa251693fd152893c1b164e925232c30df8add7dca9b1c2745c9dc9,0,2,1.316318999999993,-8.923227999999995,-30.461566999999945,0.10546875,Current
20260715_paired_latency_low_sketch_k8_rep5,paired_t4_latency_replay_v3,live_t4_vllm,low,5,load_only,sketch_k8,298e3952ad13d0cd5bdd4906663aeae826a3a26aaedd576ead7c99f35dbbc4ae,1,0,14.108723999999995,0.05172900000002301,311.78658800000005,0.0390625,Current
20260715_paired_latency_low_sketch_k16_rep5,paired_t4_latency_replay_v3,live_t4_vllm,low,5,load_only,sketch_k16,298e3952ad13d0cd5bdd4906663aeae826a3a26aaedd576ead7c99f35dbbc4ae,1,3,4.398104999999987,6.830635000000029,326.66658599999994,0.09765625,Current
20260715_paired_latency_low_exact_rep5,paired_t4_latency_replay_v3,live_t4_vllm,low,5,load_only,exact,298e3952ad13d0cd5bdd4906663aeae826a3a26aaedd576ead7c99f35dbbc4ae,1,2,-7.001923000000005,-10.169385999999975,-16.35773800000004,0.17578125,Current
20260715_paired_latency_low_sketch_k8_rep6,paired_t4_latency_replay_v3,live_t4_vllm,low,6,load_only,sketch_k8,034f6c96c532661e70641a52a7aea6c97e7b447071d15dd00da01e19de7fd81e,3,2,5.113747000000018,-1.0963639999999941,324.28398100000004,0.01171875,Current
20260715_paired_latency_low_sketch_k16_rep6,paired_t4_latency_replay_v3,live_t4_vllm,low,6,load_only,sketch_k16,034f6c96c532661e70641a52a7aea6c97e7b447071d15dd00da01e19de7fd81e,3,0,5.028096000000005,-10.885964000000001,296.118072,0.0625,Current
20260715_paired_latency_low_exact_rep6,paired_t4_latency_replay_v3,live_t4_vllm,low,6,load_only,exact,034f6c96c532661e70641a52a7aea6c97e7b447071d15dd00da01e19de7fd81e,3,1,-3.3731059999999786,-23.77268600000002,-38.27365599999996,0.1328125,Current
20260715_paired_latency_low_sketch_k8_rep7,paired_t4_latency_replay_v3,live_t4_vllm,low,7,load_only,sketch_k8,a5c4c48a347cb1cf81daebe1d8ad284107f8d47182a841fcbe675803a73bdeed,3,2,13.04308499999999,4.273516000000029,327.37339399999985,0.0,Current
20260715_paired_latency_low_sketch_k16_rep7,paired_t4_latency_replay_v3,live_t4_vllm,low,7,load_only,sketch_k16,a5c4c48a347cb1cf81daebe1d8ad284107f8d47182a841fcbe675803a73bdeed,3,1,18.038089999999983,7.830847000000006,335.64658399999996,0.0390625,Current
20260715_paired_latency_low_exact_rep7,paired_t4_latency_replay_v3,live_t4_vllm,low,7,load_only,exact,a5c4c48a347cb1cf81daebe1d8ad284107f8d47182a841fcbe675803a73bdeed,3,0,1.5558049999999923,-16.34036199999997,-37.021130000000085,0.12109375,Current
20260715_paired_latency_low_sketch_k8_rep8,paired_t4_latency_replay_v3,live_t4_vllm,low,8,load_only,sketch_k8,8f62adb9fa8d4f854eb4ec9bfbd283eb8885e1ecbfa2062f7ef02c755a8fb40e,2,3,12.527541999999983,6.701672999999971,313.2104170000001,0.046875,Current
20260715_paired_latency_low_sketch_k16_rep8,paired_t4_latency_replay_v3,live_t4_vllm,low,8,load_only,sketch_k16,8f62adb9fa8d4f854eb4ec9bfbd283eb8885e1ecbfa2062f7ef02c755a8fb40e,2,1,11.409380999999996,4.294893999999999,321.207217,0.0625,Current
20260715_paired_latency_low_exact_rep8,paired_t4_latency_replay_v3,live_t4_vllm,low,8,load_only,exact,8f62adb9fa8d4f854eb4ec9bfbd283eb8885e1ecbfa2062f7ef02c755a8fb40e,2,0,-3.1646740000000193,1.0415769999999611,-6.420357999999965,0.1875,Current
20260715_paired_latency_low_sketch_k8_rep9,paired_t4_latency_replay_v3,live_t4_vllm,low,9,load_only,sketch_k8,7024cf47e9c68efc2c56fbfdb7dfff2e0f7b9374744298fcb940e687b522b22a,2,0,7.530432999999988,8.48239799999999,322.23709299999985,0.00390625,Current
20260715_paired_latency_low_sketch_k16_rep9,paired_t4_latency_replay_v3,live_t4_vllm,low,9,load_only,sketch_k16,7024cf47e9c68efc2c56fbfdb7dfff2e0f7b9374744298fcb940e687b522b22a,2,3,9.132260000000002,13.099067999999988,361.6571499999999,0.02734375,Current
20260715_paired_latency_low_exact_rep9,paired_t4_latency_replay_v3,live_t4_vllm,low,9,load_only,exact,7024cf47e9c68efc2c56fbfdb7dfff2e0f7b9374744298fcb940e687b522b22a,2,1,-2.0110170000000096,-13.862957999999992,-18.27859000000001,0.13671875,Current
20260715_paired_latency_low_sketch_k8_rep10,paired_t4_latency_replay_v3,live_t4_vllm,low,10,load_only,sketch_k8,e60fb89644ef232e2fc476a7672ecb93facc648abae2a03ee8306a1a7bc2797a,3,1,8.23672400000001,-8.323057000000006,317.72656099999995,0.01953125,Current
20260715_paired_latency_low_sketch_k16_rep10,paired_t4_latency_replay_v3,live_t4_vllm,low,10,load_only,sketch_k16,e60fb89644ef232e2fc476a7672ecb93facc648abae2a03ee8306a1a7bc2797a,3,2,11.10105200000001,-3.0824059999999918,315.63506800000005,0.0546875,Current
20260715_paired_latency_low_exact_rep10,paired_t4_latency_replay_v3,live_t4_vllm,low,10,load_only,exact,e60fb89644ef232e2fc476a7672ecb93facc648abae2a03ee8306a1a7bc2797a,3,0,0.8624850000000208,-17.487040999999977,-27.685378999999898,0.11328125,Current
20260715_paired_latency_low_sketch_k8_rep11,paired_t4_latency_replay_v3,live_t4_vllm,low,11,load_only,sketch_k8,a3fe32835242ddf314a069ba5306051e11fed06bdf63ba12414d9ab8a4a52509,1,3,6.693157000000014,-2.49290400000001,314.02991800000007,0.03515625,Current
20260715_paired_latency_low_sketch_k16_rep11,paired_t4_latency_replay_v3,live_t4_vllm,low,11,load_only,sketch_k16,a3fe32835242ddf314a069ba5306051e11fed06bdf63ba12414d9ab8a4a52509,1,2,4.149118000000016,5.404248999999993,344.91977499999996,0.05859375,Current
