prefix_length_tokens,prefix_length_actual_tokens,repetition,condition,order,ttft_ms,prompt_tokens,cached_tokens,generated_tokens,total_request_latency_ms,timestamp_utc,request_id,server_request_id
2048,2048,5,miss,hit_then_miss,761.487701,2089,0,1,761.525249,2026-07-25T13:15:31.034956+00:00,pcache-8463a24e795b419d817d8420fbd60ef7,chatcmpl-21230822ca4d489a869bc7fbd6aaf38d
2048,2048,6,miss,miss_then_hit,881.113357,2089,0,1,881.151443,2026-07-25T13:15:44.193260+00:00,pcache-745986a9cb17465bb2e145461ead23ec,chatcmpl-8be7fed864334c8bbc51d5ea0e8152ba
2048,2048,6,hit,miss_then_hit,63.277182,2089,2064,1,63.312758,2026-07-25T13:15:44.967630+00:00,pcache-99e4571662c14b9a815f7f89b2f98e46,chatcmpl-a4c69986da6a43d8ade04d6e3f72be18
2048,2048,7,miss,miss_then_hit,872.605509,2089,0,1,872.645162,2026-07-25T13:15:58.127904+00:00,pcache-179928541b6d48ea90bbfb21cb1dadee,chatcmpl-5af75f8e379a44b49fb7aeb197a69ed2
2048,2048,7,hit,miss_then_hit,64.244919,2089,2064,1,64.281081,2026-07-25T13:15:58.903759+00:00,pcache-02bec5cc14df42f189051a20122adb68,chatcmpl-a03bf3a84fe64531bab94ad81478b6b8
2048,2048,8,miss,miss_then_hit,829.558796,2089,0,1,829.598765,2026-07-25T13:16:12.038084+00:00,pcache-76b9aafb7e0241e09cc6b77c8c38b8ff,chatcmpl-78e2649f6acd4d8a8479e3567569e23b
2048,2048,8,hit,miss_then_hit,65.53715,2089,2064,1,65.576005,2026-07-25T13:16:12.875489+00:00,pcache-8d9bf2fea1bb4f878ef2512e1a857084,chatcmpl-03bf331b596e46dcb6940cdf877b3d6b
2048,2048,9,hit,hit_then_miss,65.481892,2089,2064,1,65.520086,2026-07-25T13:16:26.124499+00:00,pcache-0abd541297564fdd88e793829209ac4c,chatcmpl-13f90f6e82a542759089880883392c62
2048,2048,9,miss,hit_then_miss,757.468094,2089,0,1,757.505481,2026-07-25T13:16:26.882063+00:00,pcache-3d63a15b568b4ddf9afd01e00747b28f,chatcmpl-a66cecc146834fc8a8d6a9551c663c31
2048,2048,10,hit,hit_then_miss,65.593113,2089,2064,1,65.630807,2026-07-25T13:16:40.158894+00:00,pcache-498a05ef441545e0ba84de2f356d1105,chatcmpl-4122a1253c694b9d838822cd94f9f8db
