workload,baseline,rho,n_pairs,delta_state_age_s_baseline_minus_adaptive_mean,delta_state_age_s_baseline_minus_adaptive_std,delta_state_age_s_baseline_minus_adaptive_ci95,delta_p95_state_age_s_baseline_minus_adaptive_mean,delta_p95_state_age_s_baseline_minus_adaptive_std,delta_p95_state_age_s_baseline_minus_adaptive_ci95,delta_view_missing_baseline_minus_adaptive_mean,delta_view_missing_baseline_minus_adaptive_std,delta_view_missing_baseline_minus_adaptive_ci95,delta_cached_tokens_adaptive_minus_baseline_mean,delta_cached_tokens_adaptive_minus_baseline_std,delta_cached_tokens_adaptive_minus_baseline_ci95,delta_ttft_ms_baseline_minus_adaptive_mean,delta_ttft_ms_baseline_minus_adaptive_std,delta_ttft_ms_baseline_minus_adaptive_ci95,delta_p95_ttft_ms_baseline_minus_adaptive_mean,delta_p95_ttft_ms_baseline_minus_adaptive_std,delta_p95_ttft_ms_baseline_minus_adaptive_ci95,delta_forwarded_bytes_baseline_minus_adaptive_mean,delta_forwarded_bytes_baseline_minus_adaptive_std,delta_forwarded_bytes_baseline_minus_adaptive_ci95
reuse_intensive,AgeCov-Greedy,1.2,5,47.37084006328467,17.07586814066705,21.199091635619197,26.56966552734375,20.463756453077764,25.40503619986625,0.22708333333333333,0.051769890165788236,0.06427050364583187,155.7666666666667,109.54790935679443,135.99988883812452,159.71021788125003,90.20025202920863,111.9804505733577,32.71419379999952,500.98282603905074,621.952614624631,790.4,2252.9866399958964,2797.003926339353
reuse_intensive,FullSync,0.5,5,29.98935762116349,29.62825207029239,36.78243621157506,14.815753269195557,45.07878716927244,55.96373385831561,0.06666666666666667,0.09898574181837166,0.1228873281370649,113.1,113.54028898246747,140.95628817499102,175.4254188083333,105.70130406790084,131.22446322968295,2298.6586348,2722.4463838389047,3379.821739581935,7092.8,557.1527618167212,691.6856206368902
reuse_intensive,FullSync,0.8,5,64.29002643147174,11.206030457313203,13.91189394174148,37.65037307739258,16.505275838153665,20.490721296382805,0.23541666666666666,0.07087927431751667,0.08799413411636532,232.46666666666667,61.825853096508965,76.75462907340214,240.7390067395832,135.2710114800523,167.93421830068692,476.45994559999997,514.0673020981835,638.1965329248097,6073.6,2924.601306161235,3630.7899883174955
reuse_intensive,FullSync,1.0,5,49.58074163642346,24.401608423310083,30.293741364182274,29.819808530807496,20.27493864498879,25.17062551086695,0.20833333333333331,0.11194888156356604,0.13898061165740588,196.3,103.86753048421288,128.9478976156046,211.7895399458333,152.01726701537171,188.72410744261978,293.32644619999974,864.7860692672486,1073.6015865537827,2974.4,2595.4199660170607,3222.1228952615943
reuse_intensive,FullSync,1.2,5,47.56929797034235,19.682660465716328,24.43533291591698,27.53797001838684,19.93796077099182,24.75227929437064,0.20833333333333331,0.09374999999999999,0.11638733822886402,187.7,99.1790888578166,123.12736170800278,213.0618788875,139.90067877634425,173.68178793802707,145.71749779999973,372.39451862672314,462.3147391358233,228.8,1209.2655622318862,1501.2607999999998
reuse_intensive,LatestOnly,0.5,5,17.703614322087798,23.24476400874342,28.857559581181288,-4.229410028457641,41.75024777660748,51.831468897225534,0.012499999999999997,0.0766881763304415,0.09520568231174252,70.33333333333333,106.35233633749876,132.03269696791867,104.08578602291668,136.0360463601733,168.8839822830818,2073.8024736,2758.3264792568107,3424.365620126871,4867.2,895.8499874420941,1112.166351901297
reuse_intensive,LatestOnly,0.8,5,55.04974524861775,19.041780763111028,23.639703233664854,24.2676983833313,21.83090221906288,27.102299737720855,0.19999999999999998,0.10453061420251751,0.12977109280489926,206.86666666666667,54.635839885554944,67.8284797459002,203.7098019979166,110.66650513617752,137.38858628149987,228.7493382000004,662.1012999299134,821.9755513249427,3432.0,1713.6347335415444,2127.4174435565765
reuse_intensive,LatestOnly,1.0,5,47.008399551112426,27.37164422236683,33.98093668254656,26.336257648468017,23.923937300715753,29.70072941210177,0.21458333333333335,0.12138880943297681,0.1506999511538666,198.4,135.88044172891276,168.69080458869783,226.0600515416667,197.37793317939065,245.0377841905479,414.31594559999996,738.1242108251229,916.3553299223139,3099.2,3100.3514639472733,3848.977647603041
reuse_intensive,LatestOnly,1.2,5,46.51967199054762,20.73774798850157,25.74518708525522,23.924024438858034,18.955351945362025,23.532404886528063,0.21041666666666667,0.10083204200275052,0.12517944508673226,174.96666666666673,81.87273321713677,101.64212792175412,154.66349788750009,104.95528895499562,130.29831162147448,-39.68763920000019,432.3202039600761,536.7103765490439,1081.6,1708.2613383203402,2120.746561774735
reuse_intensive,RateFIFO,0.5,5,29.40277955039101,4.391112612873486,5.451412361339065,54.9208119392395,21.415084663585468,26.586076820698462,0.09791666666666667,0.013975424859373692,0.017350000000000008,155.73333333333335,60.541606446402746,75.16028188156002,456.6545586208333,205.83096756053584,255.53193002071922,2501.7552155999992,2743.9611840195935,3406.5316097212017,-7259.2,557.1527618167212,691.6856206368902
