workload,policy,rho,n_runs,upserts_generated_mean,source_upserts_sent_mean,source_tombstones_sent_mean,net_msgs_sent_mean,net_msgs_delivered_mean,net_wire_bytes_sent_mean,relay_forwarded_mean,relay_drop_rate_limit_mean,relay_drop_superseded_mean,relay_drop_duplicate_holder_mean,relay_drop_low_utility_mean,relay_drop_queue_drop_mean,relay_drop_expired_mean,forwarded_bytes_per_request,forwarded_frames_per_request
reuse_intensive,FullSync,0.8,5,184.0,184.0,0.0,184.0,145.2,19136.0,148.4,0.0,0.0,0.0,0.0,0.0,0.0,160.76666666666668,1.5458333333333334
reuse_intensive,FullSync,1.0,5,184.0,184.0,0.0,184.0,94.6,19136.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,106.81666666666666,1.0270833333333333
reuse_intensive,FullSync,1.2,5,184.0,184.0,0.0,184.0,59.6,19136.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0,68.9,0.6625
reuse_intensive,LatestOnly,0.5,5,184.0,184.0,0.0,184.0,162.6,19136.0,162.6,0.0,21.4,0.0,0.0,0.0,0.0,176.15,1.69375
reuse_intensive,LatestOnly,0.8,5,184.0,184.0,0.0,184.0,121.4,19136.0,123.0,0.0,47.0,0.0,0.0,0.0,0.0,133.25,1.28125
reuse_intensive,LatestOnly,1.0,5,184.0,184.0,0.0,184.0,96.0,19136.0,99.8,0.0,51.4,0.0,0.0,0.0,0.0,108.11666666666666,1.0395833333333333
reuse_intensive,LatestOnly,1.2,5,184.0,184.0,0.0,184.0,67.8,19136.0,71.8,0.0,52.4,0.0,0.0,0.0,0.0,77.78333333333333,0.7479166666666667
reuse_intensive,RateFIFO,0.5,5,184.0,184.0,0.0,184.0,46.0,19136.0,46.0,138.0,0.0,0.0,0.0,0.0,0.0,49.833333333333336,0.4791666666666667
reuse_intensive,RateFIFO,0.8,5,184.0,184.0,0.0,184.0,45.6,19136.0,45.6,138.4,0.0,0.0,0.0,0.0,0.0,49.4,0.475
reuse_intensive,RateFIFO,1.0,5,184.0,184.0,0.0,184.0,45.2,19136.0,45.2,138.8,0.0,0.0,0.0,0.0,0.0,48.96666666666667,0.4708333333333333
reuse_intensive,RateFIFO,1.2,5,184.0,184.0,0.0,184.0,42.8,19136.0,42.8,141.2,0.0,0.0,0.0,0.0,0.0,46.36666666666667,0.44583333333333336
reuse_intensive,StaticSemantic,0.5,5,184.0,184.0,0.0,184.0,136.8,19136.0,136.8,0.0,14.2,33.0,0.0,0.0,0.0,148.2,1.425
reuse_intensive,StaticSemantic,0.8,5,184.0,184.0,0.0,184.0,110.2,19136.0,110.2,0.0,35.8,38.0,0.0,0.0,0.0,119.38333333333334,1.1479166666666667
reuse_intensive,StaticSemantic,1.0,5,184.0,184.0,0.0,184.0,86.2,19136.0,88.0,0.0,42.4,44.8,0.0,0.0,0.0,95.33333333333333,0.9166666666666666
reuse_intensive,StaticSemantic,1.2,5,184.0,184.0,0.0,184.0,79.0,19136.0,82.2,0.0,43.6,45.6,0.0,0.0,0.0,89.05,0.85625
