workload,rep,rho,baseline,adaptive_experiment_id,baseline_experiment_id,trace_hash,delta_state_age_s_baseline_minus_adaptive,delta_p95_state_age_s_baseline_minus_adaptive,delta_view_missing_baseline_minus_adaptive,delta_cached_tokens_adaptive_minus_baseline,delta_ttft_ms_baseline_minus_adaptive,delta_p95_ttft_ms_baseline_minus_adaptive,delta_forwarded_bytes_baseline_minus_adaptive
original_compatible,2,0.5,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep2,20260726_formal4t4_original_compatible_LatestOnly@rho0.5_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,-0.09023677463262736,-4.796298503875732,0.0,-5.0,-89.95939401041664,-353.96597999999994,624.0
original_compatible,2,0.5,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep2,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho0.5_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,1.8008324461923522,5.050481081008911,0.0,-5.0,118.41644587499991,75.53453000000036,1352.0
original_compatible,2,0.5,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep2,20260726_formal4t4_original_compatible_StaticSemantic@rho0.5_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,-0.3247415750799032,-1.0669260025024414,0.0,0.0,-78.00830206249998,107.91754300000002,-104.0
original_compatible,2,0.8,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep2,20260726_formal4t4_original_compatible_FullSync@rho0.8_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,18.641581971880413,16.81747007369995,0.2708333333333333,177.33333333333348,-53.993480999999974,225.5353909999999,3640.0
original_compatible,2,0.8,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep2,20260726_formal4t4_original_compatible_RateFIFO@rho0.8_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,4.844428613152303,20.656304359436035,0.07291666666666666,64.5,184.1176751979167,391.58042399999977,-5720.0
original_compatible,2,0.8,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep2,20260726_formal4t4_original_compatible_LatestOnly@rho0.8_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,3.75924415655539,1.2162342071533203,0.04166666666666666,-5.3333333333332575,-14.58480861458338,-162.12543400000004,-208.0
original_compatible,2,0.8,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep2,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho0.8_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,17.144131895521994,17.362748384475708,0.23958333333333331,129.33333333333348,-24.25967115625008,-115.71303699999999,3640.0
original_compatible,2,0.8,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho0.8_rep2,20260726_formal4t4_original_compatible_StaticSemantic@rho0.8_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,-1.5466685395845232,-3.9381344318389893,-0.010416666666666671,-53.33333333333326,-90.67397126041669,-295.411611,-104.0
original_compatible,2,1.0,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep2,20260726_formal4t4_original_compatible_FullSync@rho1.0_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,22.06875809481446,20.73771858215332,0.28125,166.33333333333326,83.31565722916662,643.900674,6656.0
original_compatible,2,1.0,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep2,20260726_formal4t4_original_compatible_RateFIFO@rho1.0_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,-1.8810583235512297,12.432837963104248,-0.08333333333333334,-21.833333333333485,231.59672865624998,1086.225649,-2704.0
original_compatible,2,1.0,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep2,20260726_formal4t4_original_compatible_LatestOnly@rho1.0_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,1.8245983459580124,-2.158531427383423,-0.04166666666666666,-64.5,57.17507945833336,769.367909,1976.0
original_compatible,2,1.0,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep2,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho1.0_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,21.24164790502736,20.008556365966797,0.22916666666666663,65.0,167.5091615312499,463.79370800000015,6656.0
original_compatible,2,1.0,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho1.0_rep2,20260726_formal4t4_original_compatible_StaticSemantic@rho1.0_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,13.196797491798936,14.301639080047607,0.15625,91.83333333333326,51.7749260520834,534.7833970000002,832.0
original_compatible,2,1.2,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep2,20260726_formal4t4_original_compatible_FullSync@rho1.2_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,11.28815349390809,8.454251766204834,0.25000000000000006,150.33333333333326,58.96474131249988,302.24290599999995,4992.0
original_compatible,2,1.2,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep2,20260726_formal4t4_original_compatible_RateFIFO@rho1.2_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,-10.285109667710856,1.818730354309082,-0.13541666666666666,-32.333333333333485,237.82624196875008,526.0218320000004,-1768.0
original_compatible,2,1.2,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep2,20260726_formal4t4_original_compatible_LatestOnly@rho1.2_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,12.24433963399538,16.89258098602295,0.11458333333333337,43.166666666666515,144.90785183333332,443.49876700000004,2392.0
original_compatible,2,1.2,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep2,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho1.2_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,15.100829846422435,16.241824865341187,0.18750000000000006,150.5,221.58492534375,482.424164,7592.0
original_compatible,2,1.2,StaticSemantic,20260726_formal4t4_original_compatible_Adaptive@rho1.2_rep2,20260726_formal4t4_original_compatible_StaticSemantic@rho1.2_rep2,a685c3f0ab78d1068ee9cbe6cffd2bc563027888a0774d532029d6a8fdc0ced8,10.784056881783712,12.655571699142456,0.13541666666666669,140.5,200.7150887708333,276.5,1352.0
original_compatible,3,0.5,FullSync,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep3,20260726_formal4t4_original_compatible_FullSync@rho0.5_rep3,992913572e960d26d149c4b12e8b0ecd6d8924d18f635c2fa8e6ccc94f89576f,-1.2493704540628787,-3.1001875400543213,0.0,0.0,-104.65627137500019,-33.59870499999988,936.0
original_compatible,3,0.5,RateFIFO,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep3,20260726_formal4t4_original_compatible_RateFIFO@rho0.5_rep3,992913572e960d26d149c4b12e8b0ecd6d8924d18f635c2fa8e6ccc94f89576f,24.363966941833493,58.705257415771484,0.2604166666666667,202.66666666666674,346.1433057291665,858.3375799999999,-8424.0
original_compatible,3,0.5,LatestOnly,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep3,20260726_formal4t4_original_compatible_LatestOnly@rho0.5_rep3,992913572e960d26d149c4b12e8b0ecd6d8924d18f635c2fa8e6ccc94f89576f,-0.9550191516607587,-1.8551902770996094,0.0,0.0,-126.17557691666684,-145.31002100000023,520.0
original_compatible,3,0.5,AgeCov-Greedy,20260726_formal4t4_original_compatible_Adaptive@rho0.5_rep3,20260726_formal4t4_original_compatible_AgeCov-Greedy@rho0.5_rep3,992913572e960d26d149c4b12e8b0ecd6d8924d18f635c2fa8e6ccc94f89576f,-1.4630129605951456,-4.5540642738342285,0.0,-21.333333333333258,-174.62414495833355,-152.22782499999994,936.0
