experiment,evidence_type,baseline,rate_budget_Bps,transport_capacity_Bps,churn_events_per_inst_s,n_reps,status,update_delay_p95_ms_mean,update_delay_p95_ms_ci95_low,update_delay_p95_ms_ci95_high,queue_length_max_mean,queue_length_max_ci95_low,queue_length_max_ci95_high,coalescing_ratio_mean,coalescing_ratio_ci95_low,coalescing_ratio_ci95_high,dropped_or_expired_updates_mean,dropped_or_expired_updates_ci95_low,dropped_or_expired_updates_ci95_high,stale_lookup_rate_mean,stale_lookup_rate_ci95_low,stale_lookup_rate_ci95_high,fallback_rate_mean,fallback_rate_ci95_low,fallback_rate_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,ttft_p95_ms_model_mean,ttft_p95_ms_model_ci95_low,ttft_p95_ms_model_ci95_high
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,1024,1024,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.0,0.00035833333333333333,0.00015,0.0,0.00036666666666666667,539919.0,539802.0,540000.0,80.00675,80.0,80.0165
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,1024,1024,0.1,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019666666666666665,0.001175,0.00285,0.0019666666666666665,0.001175,0.0028333333333333335,538938.0,538474.5,539388.0,80.0885,80.05212499999999,80.12675
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,1024,1024,1.0,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014658333333333334,0.013041666666666667,0.0164,0.014658333333333334,0.0129,0.016275,532084.5,531180.0,532984.5,80.659625,80.586875,80.736125
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,1024,1024,5.0,20,Current,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.07414166666666666,0.06980833333333333,0.07843333333333334,0.07414166666666666,0.070025,0.07846666666666667,499963.5,497565.0,502128.0,83.336375,83.148875,83.526125
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,4096,4096,0.01,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038333333333333334,9.166666666666667e-05,0.0007416666666666667,0.00038333333333333334,9.166666666666667e-05,0.00075,539793.0,539590.5,539941.5,80.01725,80.0045,80.03450000000001
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,4096,4096,0.1,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018166666666666667,0.0009416666666666667,0.002775,0.0018166666666666667,0.0009583333333333334,0.0028083333333333333,539019.0,538479.0,539500.5,80.08175,80.04312499999999,80.12675
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,4096,4096,1.0,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01675,0.014074999999999999,0.019383333333333332,0.01675,0.01405,0.019458333333333334,530955.0,529542.0,532381.5,80.75375,80.633375,80.87225
budget_freshness_quality_v3,control_plane_simulation,periodic_delta,4096,4096,5.0,20,Current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06879166666666667,0.065375,0.07308333333333333,0.06879166666666667,0.06515833333333333,0.07298333333333333,502852.5,500701.5,504706.5,83.095625,82.94,83.2775
budget_freshness_quality_v3,control_plane_simulation,periodic_full,64,64,0.01,20,Current,2000.0,2000.0,2000.0,3.0,3.0,3.0,0.0,0.0,0.0,0.7208333333333333,0.5333333333333333,0.8875,0.0027333333333333333,0.0004416666666666667,0.005591666666666667,0.0027333333333333333,0.000525,0.005675,538524.0,536931.0,539802.0,80.123,80.018375,80.256875
budget_freshness_quality_v3,control_plane_simulation,periodic_full,64,64,0.1,20,Current,2000.0,2000.0,2000.0,3.0,3.0,3.0,0.0,0.0,0.0,0.8938714933587224,0.8523705922989978,0.9297120416992708,0.01765,0.0113,0.025033333333333335,0.01765,0.011266666666666666,0.025858333333333334,530469.0,526171.5,533979.0,80.79425,80.49275,81.176
budget_freshness_quality_v3,control_plane_simulation,periodic_full,64,64,1.0,20,Current,2000.0,2000.0,2000.0,3.0,3.0,3.0,0.0,0.0,0.0,0.854687362395509,0.8414688538274758,0.8695516188008239,0.17343333333333333,0.15416666666666667,0.19350833333333334,0.17343333333333333,0.15523333333333333,0.191225,446346.0,435883.5,456907.5,87.8045,86.9225,88.739
budget_freshness_quality_v3,control_plane_simulation,periodic_full,64,64,5.0,20,Current,2000.0,2000.0,2000.0,3.0,3.0,3.0,0.0,0.0,0.0,0.8163982858581098,0.8097894660292211,0.8217189923891609,0.5768583333333334,0.5465333333333333,0.6046666666666667,0.5768583333333334,0.54735,0.6045416666666666,228496.5,212530.5,244660.5,105.958625,104.616125,107.268125
budget_freshness_quality_v3,control_plane_simulation,periodic_full,256,256,0.01,20,Current,1980.000000000004,1980.000000000004,1980.000000000004,3.0,3.0,3.0,0.0,0.0,0.0,0.3958333333333333,0.22916666666666666,0.5791666666666666,0.00075,3.3333333333333335e-05,0.002033333333333333,0.00075,1.6666666666666667e-05,0.002,539595.0,538911.0,539991.0,80.03375,80.00075,80.093
budget_freshness_quality_v3,control_plane_simulation,periodic_full,256,256,0.1,20,Current,1980.000000000004,1980.000000000004,1980.000000000004,3.0,3.0,3.0,0.0,0.0,0.0,0.5831449106449106,0.5199514374514375,0.6558721833721833,0.007908333333333333,0.005183333333333333,0.011058333333333333,0.007908333333333333,0.005208333333333334,0.010833333333333334,535729.5,534208.5,537183.0,80.355875,80.235875,80.48375
budget_freshness_quality_v3,control_plane_simulation,periodic_full,256,256,1.0,20,Current,1980.000000000004,1980.000000000004,1980.000000000004,3.0,3.0,3.0,0.0,0.0,0.0,0.5375159733414903,0.5209807492802785,0.5537867615916918,0.07636666666666667,0.06479166666666666,0.0892,0.07636666666666667,0.06504166666666666,0.08881666666666667,498762.0,492453.0,504432.0,83.4365,82.928375,83.97275
budget_freshness_quality_v3,control_plane_simulation,periodic_full,256,256,5.0,20,Current,1980.000000000004,1980.000000000004,1980.000000000004,3.0,3.0,3.0,0.0,0.0,0.0,0.5197961816147642,0.5101672828668076,0.530328077343035,0.339825,0.32619166666666666,0.353125,0.339825,0.325675,0.35411666666666664,356494.5,349236.0,364162.5,95.292125,94.66175,95.8925
budget_freshness_quality_v3,control_plane_simulation,periodic_full,1024,1024,0.01,20,Current,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4999999999999998e-05,0.0,4.9999999999999996e-05,2.4999999999999998e-05,0.0,5.833333333333333e-05,539986.5,539973.0,540000.0,80.001125,80.0,80.002625
budget_freshness_quality_v3,control_plane_simulation,periodic_full,1024,1024,0.1,20,Current,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014833333333333332,0.0008916666666666667,0.0021583333333333333,0.0014833333333333332,0.0009083333333333334,0.00215,539199.0,538825.5,539523.0,80.06675,80.03937499999999,80.097875
budget_freshness_quality_v3,control_plane_simulation,periodic_full,1024,1024,1.0,20,Current,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014116666666666666,0.012566666666666667,0.015691666666666666,0.014116666666666666,0.012525,0.015766666666666665,532377.0,531486.0,533236.5,80.63525,80.561375,80.710625
budget_freshness_quality_v3,control_plane_simulation,periodic_full,1024,1024,5.0,20,Current,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07609166666666667,0.07148333333333333,0.08085,0.07609166666666667,0.07149166666666666,0.08103333333333333,498910.5,496399.5,501529.5,83.424125,83.20775,83.636
budget_freshness_quality_v3,control_plane_simulation,periodic_full,4096,4096,0.01,20,Current,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024166666666666667,0.0,0.00065,0.00024166666666666667,0.0,0.0007,539869.5,539653.5,540000.0,80.010875,80.0,80.02925
budget_freshness_quality_v3,control_plane_simulation,periodic_full,4096,4096,0.1,20,Current,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015916666666666666,0.000975,0.0023416666666666664,0.0015916666666666666,0.0009666666666666667,0.0022916666666666667,539140.5,538744.5,539482.5,80.071625,80.04275,80.103875
budget_freshness_quality_v3,control_plane_simulation,periodic_full,4096,4096,1.0,20,Current,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016216666666666667,0.013833333333333333,0.01895,0.016216666666666667,0.0138,0.018825,531243.0,529776.0,532512.0,80.72975,80.62325,80.863625
budget_freshness_quality_v3,control_plane_simulation,periodic_full,4096,4096,5.0,20,Current,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07186666666666666,0.06741666666666667,0.07650833333333333,0.07186666666666666,0.06764166666666667,0.076325,501192.0,498690.0,503572.5,83.234,83.034875,83.437625
