experiment_id,experiment,evidence_type,code_commit,model,hardware,interface,N,R_per_inst,K,dispatcher_index_B,snapshot_B,advertised_entries,event_driven_Bps,update_p95_us,lookup_p95_us,fanout_p95,evaluated_fanout_p95,churn_events_per_inst_s,status
20260715_cost_exact_affinity_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,16,2,35840,35840,512,3276.8,0.396,0.277,32,8,0.1,Current
20260715_cost_load_only_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,16,4,3072,3072,0,76.80000000000001,0.278,0.248,0,0,0.1,Current
20260715_cost_sketch_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,16,4,11264,11264,128,819.2,0.351,0.27,4,8,0.1,Current
20260715_cost_exact_affinity_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,16,4,35840,35840,512,3276.8,0.403,0.277,32,8,0.1,Current
20260715_cost_load_only_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,16,8,3072,3072,0,76.80000000000001,0.287,0.254,0,0,0.1,Current
20260715_cost_sketch_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,16,8,19456,19456,256,1638.4,0.368,0.263,8,8,0.1,Current
20260715_cost_exact_affinity_high_K8_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,16,8,35840,35840,512,3276.8,0.408,0.286,32,8,0.1,Current
20260715_cost_load_only_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,16,16,3072,3072,0,76.80000000000001,0.294,0.262,0,0,0.1,Current
20260715_cost_sketch_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,16,16,35840,35840,512,3276.8,0.609,0.4,16,8,0.1,Current
20260715_cost_exact_affinity_high_K16_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,16,16,35840,35840,512,3276.8,0.408,0.274,32,8,0.1,Current
20260715_cost_load_only_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,16,32,3072,3072,0,76.80000000000001,0.309,0.254,0,0,0.1,Current
20260715_cost_sketch_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,16,32,35840,35840,512,3276.8,0.41,0.284,32,8,0.1,Current
20260715_cost_exact_affinity_high_K32_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,16,32,35840,35840,512,3276.8,0.396,0.282,32,8,0.1,Current
20260715_cost_load_only_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,64,2,3072,3072,0,76.80000000000001,0.301,0.26,0,0,0.1,Current
20260715_cost_sketch_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,sketch,32,64,2,7168,7168,64,409.6,0.393,0.287,2,8,0.1,Current
20260715_cost_exact_affinity_high_K2_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,exact_affinity,32,64,2,134144,134144,2048,13107.2,0.406,0.277,32,8,0.1,Current
20260715_cost_load_only_high_K4_high_r0,cost_scaling,microbenchmark,467353b,"current a=<d,m,nu,h,c,s,q,tau> schema; entry=64B",CPU control-plane simulator on yhs1; no GPU serving in these rows,load_only,32,64,4,3072,3072,0,76.80000000000001,0.292,0.266,0,0,0.1,Current
