experiment,evidence_type,coverage_tokens,affinity_queue_ms,policy,n_reps,status,ttft_p50_ms_mean,ttft_p50_ms_ci95_low,ttft_p50_ms_ci95_high,ttft_p95_ms_mean,ttft_p95_ms_ci95_low,ttft_p95_ms_ci95_high,saved_prefill_ms_total_mean,saved_prefill_ms_total_ci95_low,saved_prefill_ms_total_ci95_high,affinity_selected_rate_mean,affinity_selected_rate_ci95_low,affinity_selected_rate_ci95_high,harmful_diversion_rate_mean,harmful_diversion_rate_ci95_low,harmful_diversion_rate_ci95_high,abstention_rate_mean,abstention_rate_ci95_low,abstention_rate_ci95_high
net_benefit_conflict_v4,dispatcher_level_simulation,1024,10.0,exact_guarded,20,Current,86.96321391404327,86.93695740027029,86.98558032023135,92.12585964173927,92.06906679924333,92.18625096954159,127961.6,127947.52,127975.68000000001,0.89328,0.89198,0.89487,0.01101,0.01034,0.01172,0.10672,0.10536,0.10805000000000001
net_benefit_conflict_v4,dispatcher_level_simulation,1024,10.0,load_only,20,Current,108.49230452831884,108.4474032179337,108.53595870713872,116.50587503623603,116.48268752254167,116.53478729580993,20375.04,20129.280000000002,20606.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,1024,10.0,sketch_k16_guarded,20,Current,87.65656440223864,87.63782064404182,87.67617991604138,112.48001293522437,112.33512682103051,112.6209986532434,108463.36,108241.92000000001,108704.0,0.7316400000000001,0.72911,0.7337400000000001,0.00958,0.00904,0.01012,0.08763,0.08601,0.08936
net_benefit_conflict_v4,dispatcher_level_simulation,1024,50.0,affinity_first,20,Current,127.42023357144788,127.39028169899336,127.45065023263453,132.33122996766153,132.29655548715553,132.3646800520745,128000.0,128000.0,128000.0,1.0,1.0,1.0,0.99998,0.99995,1.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,1024,50.0,exact_guarded,20,Current,108.50569605672432,108.46059716583625,108.55159616369315,116.70090043251788,116.6783678239776,116.72328264948534,22255.36,22021.120000000003,22507.52,0.01284,0.01233,0.01334,0.01283,0.01235,0.01332,0.98716,0.98667,0.98766
net_benefit_conflict_v4,dispatcher_level_simulation,1024,50.0,load_only,20,Current,108.47290008785292,108.41520231206432,108.5351305928358,116.51843379354216,116.49509301153432,116.53875427534372,20610.56,20294.4,20908.800000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,1024,50.0,sketch_k16_guarded,20,Current,108.49772991554588,108.44903502259737,108.54829903189383,116.65419657202894,116.6215913036906,116.68532403864646,21703.68,21391.36,22001.920000000002,0.01046,0.00978,0.01105,0.01046,0.00984,0.01104,0.8106099999999999,0.80852,0.81277
net_benefit_conflict_v4,dispatcher_level_simulation,1024,100.0,affinity_first,20,Current,177.4130225902682,177.39162245167415,177.43652290191278,182.33867123218008,182.299218955916,182.37650966962937,128000.0,128000.0,128000.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,1024,100.0,exact_guarded,20,Current,108.44793879849603,108.4023964934881,108.48927439804245,116.50919571266952,116.48746726541425,116.53092659411608,20418.56,20162.56,20665.600000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
net_benefit_conflict_v4,dispatcher_level_simulation,1024,100.0,load_only,20,Current,108.48772492709858,108.43866414366698,108.54297564219294,116.48312557768242,116.46103628630948,116.50256621125742,20385.280000000002,20076.800000000003,20751.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,1024,100.0,sketch_k16_guarded,20,Current,108.49923197305964,108.44274680510097,108.55248028887804,116.52128528315865,116.49914065801013,116.54340954357863,20460.800000000003,20176.640000000003,20761.600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.81995,0.81818,0.82162
net_benefit_conflict_v4,dispatcher_level_simulation,4096,0.0,affinity_first,20,Current,0.6245245128969141,0.612704196758226,0.6360978373836148,5.503329816876327,5.471501318331984,5.540729998667326,512000.0,512000.0,512000.0,1.0,1.0,1.0,0.01894,0.01815,0.01964,0.0,0.0,0.0
net_benefit_conflict_v4,dispatcher_level_simulation,4096,0.0,exact_guarded,20,Current,0.6258173853768663,0.6073702803212475,0.649075167684884,5.470478742549487,5.430134601085166,5.509691035090729,512000.0,512000.0,512000.0,0.98337,0.98256,0.9842500000000001,0.0083,0.0078000000000000005,0.00883,0.01663,0.01574,0.01745
net_benefit_conflict_v4,dispatcher_level_simulation,4096,0.0,load_only,20,Current,108.47153322322501,108.4064828712722,108.54056332997948,116.5003979439122,116.47778023130687,116.52139796552439,81315.84000000001,80302.08,82314.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
